video_id,author,comment
SQXcaHsG0Fc,Iski Dani,  =>FIRST CALLBACK REPLY: Jika gw jadi nasdem daripada bikin aliansi dengan pdi mending bikin aliansi dengan jokowi jika anis gagal di ronde pertama maka akan menyerahkan dukungan pada prabowo gibran jadi strategi surya paloh tempur habis2 an di ronde pertama jika masuk otomatis pdi gugur dan dukungan pdi pasti jatuh ke anis walaupun tanpa harus meminta apalagi pakek perjanjian <br>Jika anis gugur di putaran pertama ya sudah dukung jokowi kemenangan prabowo pasti tebal daripada bikin perjanjian ke pdi belum tentu menang mending bikin perjanjian ke jokowi menang kalah tetap untung
SQXcaHsG0Fc,Iski Dani,  =>FIRST CALLBACK REPLY: Tugas anis cuman masuk ronde pertama otomatis harus mengalahkan ganjar jika anis berhasil masuk pasti di ronde kedua kaum intelektual dan pdi bakalan habis2 an dukung anis jadi surya paloh tinggal duduk manis
SQXcaHsG0Fc,HANDOKO 🔥,"  =>FIRST CALLBACK REPLY: @Ilham Wijaka Ramadhan Tempo Netral dari Hongkong 😂, bhas jg dong Fakta integritas dari BIN (Badan intelejen Negara) ke kpala daerah dari PDI P, dan 5-6 kepala daerah dari PDI P yg bermasalah krn di suruh mendukung Ganjar...😇<br>Jgn hari2 Presiden &amp; Keluarga nya terus yg di Serang 😅<br>TEMPO 🤡"
SQXcaHsG0Fc,rt0409.,  =>FIRST CALLBACK REPLY: Idolanya sih pak mahfud atau anis yang intelek  tapi bazer² gaya ngomong nya gak berrkelas yaaa sukanya fitnah dan nyinyir.. suka nyerang personal aku kira gaya politik yang seperti itu udah kuno alias ketinggalan jaman.. hah sudah lah.. aku sadar karena mereka semua Bazer² terprogram dan di bayar polanya sama wk wk ....
SQXcaHsG0Fc,Pehek Pihir,"  =>FIRST CALLBACK REPLY: SEKARANG MUSIM PILEK,PILPRES,SALING PITNAH, SALING MENJATUHKAN AKAN TUMBUH SEPERTI JAMUR."
SQXcaHsG0Fc,rt0409.,"  =>FIRST CALLBACK REPLY: @Pehek Pihir membuat anak muda males dengernya politik bukan memperkuat kebangsaan dan negara tapi malah pecah balah,<br>Katanya ngakunya sudah dewasa tapi politiknya kaya anak²"
SQXcaHsG0Fc,pur wiyatno,  =>FIRST CALLBACK REPLY: Share
SQXcaHsG0Fc,Oki,  =>FIRST CALLBACK REPLY: ​@Sultan Odennah ini kalo berani dan bisa jago banget sih... taruhannya terlalu ekstrem
SQXcaHsG0Fc,Ady,  =>FIRST CALLBACK REPLY: done
SQXcaHsG0Fc,Key,"  =>FIRST CALLBACK REPLY: Ga, males"
SQXcaHsG0Fc,Yusuf,  =>FIRST CALLBACK REPLY: Bahas dong tukang survei...yang mana yang lurus dan belok 😂😂😂
SQXcaHsG0Fc,Roganda Sinaga,  =>FIRST CALLBACK REPLY: Jurnalis tempe ehhh Tempo 😅😅😅😅
SQXcaHsG0Fc,Roganda Sinaga,"  =>FIRST CALLBACK REPLY: Yg dibahas opini2, katanya katanya, informasi orang terdekat nya, dasar tempeee"
SQXcaHsG0Fc,ECNELIS,  =>FIRST CALLBACK REPLY: Telegram channel lah min ☕️
SQXcaHsG0Fc,Ubed Aku,  =>FIRST CALLBACK REPLY: keren tempo nih 😁 <br>dari dulu sudah berlangganan yang cetak.
SQXcaHsG0Fc,ALIFFA_ALYIA_OLVIN_BALA,  =>FIRST CALLBACK REPLY: Siapppp
SQXcaHsG0Fc,ALIFFA_ALYIA_OLVIN_BALA,  =>FIRST CALLBACK REPLY: Kulik MK dan KPK  bung/
SQXcaHsG0Fc,Eka Setyawibawa,"  =>FIRST CALLBACK REPLY: Dari ujung ke ujung isinya cuman katanya, denger2, ah ga lebih dari opini menuju framing"
SQXcaHsG0Fc,Ojo Culangung,"  =>FIRST CALLBACK REPLY: <b>JIKA ALLAH SUBHANAHUWATA&#39;ALA MENGIJINKAN / MENGHENDAKI DALAM PELAKSANAAN PILPRES 2024 INI BENAR-BENAR BISA DILAKSANAKAN DENGAN JUJUR&amp;ADIL, SERTA BENAR-BENAR BISA DILAKSANAKAN DENGAN TIDAK ADA KECURANGAN DALAM BENTUK APAPUN,</b> <br><b>MAKA :</b> <br><br><b>&quot; DEMI ALLAH &amp; DEMI RASULULLAH, INSYA ALLAH PASANGAN ☆AMIN (Anies rasyid baswedan &amp; ahmad muhaiMIN iskandar)☆ TERPILIH/MENANG DALAM PILPRES TANGGAL 14 PEBRUARI 2024 TERSEBUT, DAN PADA TANGGAL 20 OKTOBER 2024 DILANTIK MENJADI PRESIDEN&amp;WAKIL PRESIDEN R.I TAHUN 2024-2029. &quot;</b> <br><br><b>AAMIIN... YAA... ROBBAL &#39;AALAMIIN....🤲🏼</b>"
SQXcaHsG0Fc,Wulandari Kim,  =>FIRST CALLBACK REPLY: Iya dong bocor alus bahas lembaga survei dong apa bener mereka juga merangkap konsultan strategi pemenangan
SQXcaHsG0Fc,Simbahe Fathiya N U,  =>FIRST CALLBACK REPLY: Oke👌✅Gasss pollll
SQXcaHsG0Fc,mama 2023,  =>FIRST CALLBACK REPLY: @Iski Dani aku sih ogah mending golput ga jadi dosa
SQXcaHsG0Fc,Olalabebe 26,  =>FIRST CALLBACK REPLY: @Iski Dani      pengkhianat  tidak mungkin menang walau koalisi gemuk .......... Pasti  !!
SQXcaHsG0Fc,LooseKanon Stan,  =>FIRST CALLBACK REPLY: @Ojo Culangung koreksi dikit yang benar tuh <b>Abdul Muhaimin Iskandar</b> 🙏
SQXcaHsG0Fc,Jeewis Dumatubun21,  =>FIRST CALLBACK REPLY: Kalian itu berpihak tak netral kalian omong kosong kalian
SQXcaHsG0Fc,Jeewis Dumatubun21,  =>FIRST CALLBACK REPLY: Kalian Karna sudah dikritik barulah kalian cari info menyeluruh 😅<br>Kalau tidak dikritik kan pasti hanya 1 Berta yg kalian fokuskan dasar goblok
SQXcaHsG0Fc,Iski Dani,"  =>FIRST CALLBACK REPLY: @Olalabebe 26 tidak ada yg tidak mungkin pemenang nya hanya dua antara anis dan prabowo<br>Karna relawan anis sama prabowo beririsan jika anis gagal di ronde pertama tentu nasdem lebih baik mendukung prabowo dengan begitu kemenangan prbaowo tebal dan nasdem dapat untung meski kalah di ronde pertama daripada mendukung ganjar belum tentu menang karna relawan anis dan prabowo beririsan <br>Tapi jika anis masuk putaran kedua nasdem cuman santay saja biarkan PDI-P , aktivis, kaum intelektual yg kerja keras hahah ini namanya strategi satu kali dayung smua pulau dilalui kalah menang nasdem tetap untung yg kasian ya pdi bakalan jadi tumbal hahahaha pemenang nya antara anis atw prabowo"
SQXcaHsG0Fc,Balong Remuk,  =>FIRST CALLBACK REPLY: ada 100 kagak..autoshare...😅
SQXcaHsG0Fc,Iski Dani,  =>FIRST CALLBACK REPLY: @Olalabebe 26 intinya penghianat berpeluang kalah jika anis masuk ronde 2 tentu saja pertempuran nya akan habis2 an dan kemungkinan bisa jadi caos<br>Tapi jika anis gk masuk ronde 2 peluang kemenangan ada di prabowo
SQXcaHsG0Fc,Ola Fayola,  =>FIRST CALLBACK REPLY: Stephanus gue bakal tuntut loeyg suka bikin onar
SQXcaHsG0Fc,Hasan Tiro,  =>FIRST CALLBACK REPLY: YG MENANG SATU PUTARAN PRABOWO GIBRAN
SQXcaHsG0Fc,Bambang Sulistiyo,  =>FIRST CALLBACK REPLY: ​@visiblenoblewah seru nih dibongkar aja bang 😢
SQXcaHsG0Fc,Bambang Sulistiyo,"  =>FIRST CALLBACK REPLY: Tempo kok netral 😂😂😂 ya pasti ga netral lah kalo netral beritanya berimbang,berita playing victim jg jadi kebenaran dibacotannya tempo 😂😂😂 tergantung siapa yg nitip salam lah 😂😂😂"
SQXcaHsG0Fc,Bambang Sulistiyo,"  =>FIRST CALLBACK REPLY: ​@Ilham Wijaka Ramadhannetral 😂😂😂 tergantung salam tempelnya lah,lah kalo netral harusnya semua kebusukan semua kubu dibuka ini mah narasinya siapa yg salam tempel 😂😂😂"
SQXcaHsG0Fc,Agung Aditya,  =>FIRST CALLBACK REPLY: 😆😆😂😂tempo...musuh bgt kyy ke jokowi..
SQXcaHsG0Fc,BAYU JATI,  =>FIRST CALLBACK REPLY: Bongkar terus bung biar tidak ada dusta diantara Kita
SQXcaHsG0Fc,Arif sugeng Wibowo,"  =>FIRST CALLBACK REPLY: siap, kecurangan tidak bisa dibiarkan merajalela bos"
SQXcaHsG0Fc,Satria Sutria,  =>FIRST CALLBACK REPLY: hancurkan rezim dungu perusak demokrasi
SQXcaHsG0Fc,Fajari Fajari,  =>FIRST CALLBACK REPLY: Allohumasoli&#39;alasaiyidinaMuhammad semoga pk ANIES RB MENUJU RI.1 Aamiin..🤲🤲☝️🇮🇩🇮🇩👈💪💪💪
SQXcaHsG0Fc,Agus Salim,  =>FIRST CALLBACK REPLY: ​@visiblenobleFakta kadal
SQXcaHsG0Fc,MAS LANJAR DEES,  =>FIRST CALLBACK REPLY: Request tentang keluarga Solo dong yg seru
SQXcaHsG0Fc,butsue,  =>FIRST CALLBACK REPLY: ​@visiblenoblewaaaw anda lebih dari seorg penegak hukum dan seorg spritual yg ada di indonesia😂😂😂 di buktikan ucapan anda ya dgn data dan fakta yg anda sebut tadi!!!!! Jgn hanya bacot dan narasi anda dgn kebencian salah satu calon!!!
SQXcaHsG0Fc,Isepirawan Iswan,"  =>FIRST CALLBACK REPLY: Bocor  alus memang  kereeeeeen,  infonya  luar biasa👍"
SQXcaHsG0Fc,Saipul Anwar,  =>FIRST CALLBACK REPLY: om riques dong<br>tulung dibuka seluruh lembaga2 survey yg bikin rakyat bingung <br>mana survey yg bnr atau bkn pesanan dr pasien tertentu <br><br>Tulung yee om
SQXcaHsG0Fc,Fawas Kapungoke,  =>FIRST CALLBACK REPLY: ​@Iqbalfajryakan
SQXcaHsG0Fc,Batman,  =>FIRST CALLBACK REPLY: kak bahas KECURANGAN PILRES 2019 DONK!!!<br>SEBAGAI PENGINGAT KEJADIAN LUAR BIASA.. SUPAYA RAKYAT MASING2 BISA WASPADA DAN MENGAWAL PILPRES 2024.<br>seperti kita tau 2019 jokowi yg menang...<br>dan bnyk kejadian besar:<br>- Dus kosong yg di gembok<br>- Tni koramil tidak boleh dekat TPS<br>- Wafat masal petugas dan saksi TPS
SQXcaHsG0Fc,Lisia L,  =>FIRST CALLBACK REPLY: Trimakasih Bocor alus ngeri 2 sedap pasti Saya simpan di WA
SQXcaHsG0Fc,Trifosa,  =>FIRST CALLBACK REPLY: ​@visiblenoble lho kubu seberang juga sama juga gk diproses jd gk ada hubungannya <br>Jd Presiden tergantung TUHAN yg menentukan
SQXcaHsG0Fc,Lenny Mamahit,  =>FIRST CALLBACK REPLY: ​@Iqbalfajrypm
SQXcaHsG0Fc,Maula Irfani,  =>FIRST CALLBACK REPLY: okeeee
SQXcaHsG0Fc,Maula Irfani,  =>FIRST CALLBACK REPLY: okeeea1
SQXcaHsG0Fc,Hasty Marleny,"  =>FIRST CALLBACK REPLY: Sll di share donk..... Krn tidak boleh kebenaran disembunyikan, smg 2024 Presidennya orang yg berakhlak, cerdas, punya integritas, tidak melakukan perpecahan antar anak bangsa dan mengancam kedaulatan Negara, yg pasti bukan Keluarga Dinasti yg Plonga Plongo, yg rakus, serakah, banyak tipu muslihat dan haus kekuasaan.....  Sdh cukup hampir 10 th terakhir anak bangsa hidup dg  ketidak jelasan  dlm segala hal krn dipimpin oleh &quot;PENDUSTA YG PLONGA PLONGO&quot;, apa jadinya kl &quot;DINASTI PENDUSTA &amp; RAKUS&quot; memimpin Negeri ini  dimasa depan ??? &quot;HANCUR &amp; MENGERIKAN&quot;  kenapa Jokowi begitu bernafsu utk tetap berkuasa ???  Pasti dia jg banyak menyembunyikn kesalahan dan kejahatannya. &quot;Bravo Bocor Alus  Tempo&quot;👍👍💪💪❤️❤️🇮🇩🇮🇩"
SQXcaHsG0Fc,Dominos Highs,"  =>FIRST CALLBACK REPLY: Tempo lebih netral lagi keren dong ,"
SQXcaHsG0Fc,Candra Susetyo,"COMMENT WITH 40 replies: <b>Jangan jadikan pesta politik lima tahunan sebagai perpecahan, mari kita rawat dan jaga PERSATUAN INDONESIA</b>"
SQXcaHsG0Fc,Aldi Syah,"  =>FIRST CALLBACK REPLY: Yup persatuan, tapi tanpa intimidasi dr pihak Pak Suri dan Bu Suri.... Buat mereka dan keluarganya, tenggelamkeun!!!!!!!!... <br>Maka Persatuan akan tercapai.."
SQXcaHsG0Fc,Pristi Agung,"  =>FIRST CALLBACK REPLY: @Aldi Syah , MUKIDI DRAMA"
SQXcaHsG0Fc,Sofi Atun,  =>FIRST CALLBACK REPLY: Klo ingin menjaga demokrasi dan perdamaian  untuk persatuan Indonesia maka harus pilih dengan angka 3 yang melambangkan Pancasila sila ke 3 yang berbunyi Persatuan Indonesia dah cocok dan mantapp🤟🤟🤟
SQXcaHsG0Fc,Ilham Ilham,"  =>FIRST CALLBACK REPLY: Gimana mau damai wasit, pemain, hakim garis , coch, fifa, semua di satu pemain 😅😅😅"
SQXcaHsG0Fc,Boobeei Boo,  =>FIRST CALLBACK REPLY: omongan Jokowi banget ini hahahahaha.......<br>biar mulus jalan nya kaya trek mandalika
SQXcaHsG0Fc,Dhe Santos,  =>FIRST CALLBACK REPLY: Asal pemilu berjalan jurdil dan Aparat maupun penguasa  NETRAL semuanya akan baik2 saja. Tetapi jika ada kecurangan dan keberpihakan dari APH dan penguasa maka bibit2 perpecahan akan terjadi.
SQXcaHsG0Fc,Alawi Ibnu Asyiq,  =>FIRST CALLBACK REPLY: perSATUan itu lebih baik daripada  berDUAan apalagi perTIGAan. 😂
SQXcaHsG0Fc,Forum Opsi Channel (FOC),  =>FIRST CALLBACK REPLY: GUNAWAN MUHAMAD ITU PENDUKUNG JOKOWI.
SQXcaHsG0Fc,Made Darsana,  =>FIRST CALLBACK REPLY: Gama pasti
SQXcaHsG0Fc,Ponakan KesayanganPaman,"  =>FIRST CALLBACK REPLY: GUA JADI SUPPORTER RUSUH AJA WES, MALES DAMAI GUA, GIMANA GAK RUSUH COBA???? WASIT, PEMAIN, HAKIM GARIS, COACH, FIFA SEMUANYA BABU MUKIDI. <a href=""about:invalid#zCSafez""></a>"
SQXcaHsG0Fc,Jhakhyputra Jhakhyputra,  =>FIRST CALLBACK REPLY: Sulit bro karna kita dipimpin oleh orang yg ga paham persatuan.
SQXcaHsG0Fc,aan kusuma,  =>FIRST CALLBACK REPLY: Yang bikin perpecahan adalah para elite politik yg rakus kekuasaan
SQXcaHsG0Fc,Widaa Yatii,  =>FIRST CALLBACK REPLY: No 3 dong
SQXcaHsG0Fc,Ratih CH,  =>FIRST CALLBACK REPLY: Mari Indonesia bersatu dg pilih nmr 1👌
SQXcaHsG0Fc,ya_ampun_zoel,  =>FIRST CALLBACK REPLY: Tolong kasitau keluarga jokowi bang
SQXcaHsG0Fc,Jos Bus,"  =>FIRST CALLBACK REPLY: Meskipun menang akan ada bencana besar,sebab di dapat dg jalan yg tdk benar"
SQXcaHsG0Fc,Yahya josua,"  =>FIRST CALLBACK REPLY: Persatuan itu mncul jika pesta dilkakuan fair,, bkn brarti tidak fair gk pa2 asa tetap bersatu,,, pdhal akar masal persatuan pasca pemilu, ketidadilan perlakuaaann"
SQXcaHsG0Fc,Moon Moon,  =>FIRST CALLBACK REPLY: Amin saja dulu
SQXcaHsG0Fc,Ir. Asilo utomo,  =>FIRST CALLBACK REPLY: Dalih persatuan jgn jadihal yg membuat pasimistis...tetap lawan
SQXcaHsG0Fc,Aku Kamu,  =>FIRST CALLBACK REPLY: @Forum Opsi Channel (FOC)yg baju apa disini?
SQXcaHsG0Fc,Ratih CH,"  =>FIRST CALLBACK REPLY: @Yahya josua ..setuju, bos👍"
SQXcaHsG0Fc,Aku Kamu,  =>FIRST CALLBACK REPLY: ⁠@Ponakan KesayanganPaman yg “DIMENANGKAN” nya pun bakal tetep anak mukidi. Inget ya bukan pemenangnya tapi “ DIMENANGKAN”
SQXcaHsG0Fc,mama 2023,  =>FIRST CALLBACK REPLY: @Dhe Santos perpecahan sudah terjadi karena keinginan sang sutradara
SQXcaHsG0Fc,KOPI GATHEL,"  =>FIRST CALLBACK REPLY: SILA KE 3, PERSATUAN INDONESIA"
SQXcaHsG0Fc,JENDELA ILMU,  =>FIRST CALLBACK REPLY: Klo mau persatuan sayartnya penguasa harus adil..TDK menekan politiklawanya
